Epoch,Train Loss,Train Acc,Val Loss,Val Acc,Learning Rate
1,2.0233,53.6252,1.1172,73.4530,0.000100
2,0.8246,81.2434,0.7830,79.1460,0.000100
3,0.5290,87.4256,0.6640,82.7351,0.000100
4,0.3771,90.7180,0.6685,81.9926,0.000100
5,0.3051,91.7863,0.6584,83.1064,0.000100
6,0.2563,93.0473,0.6457,82.9827,0.000100
7,0.2266,93.6252,0.7112,82.1163,0.000100
8,0.2104,93.7303,0.6399,83.1064,0.000100
9,0.1964,93.7653,0.6664,82.9827,0.000100
10,0.1807,94.1506,0.6760,82.2401,0.000100
11,0.1709,94.3433,0.6902,82.0545,0.000100
12,0.1665,94.1156,0.6807,83.3540,0.000100
13,0.1546,94.6235,0.6806,82.6114,0.000100
14,0.1560,94.4658,0.7008,82.4876,0.000100
15,0.1513,94.2207,0.7029,82.6733,0.000100
16,0.1473,94.6585,0.7182,82.7970,0.000100
17,0.1459,94.5359,0.7103,82.4257,0.000100
18,0.1384,94.5534,0.7090,81.9926,0.000100
19,0.1350,94.9212,0.7478,81.1881,0.000100
20,0.1329,94.7110,0.7380,82.4876,0.000100
21,0.1272,94.8161,0.8042,81.1262,0.000100
22,0.1226,94.9912,0.7661,82.6114,0.000100
23,0.1287,94.5884,0.7629,82.1782,0.000050
24,0.1025,95.4991,0.7551,83.2921,0.000050
25,0.0934,95.4291,0.7739,82.4257,0.000050
26,0.0920,95.5692,0.7875,82.6733,0.000050
27,0.0925,95.4291,0.7831,82.9827,0.000050
28,0.0904,95.6217,0.7867,82.9827,0.000050
29,0.0907,95.4466,0.8074,82.2401,0.000050
30,0.0883,95.3940,0.8001,82.4257,0.000050
31,0.0866,95.4116,0.8172,82.3639,0.000050
32,0.0866,95.3940,0.8000,82.6114,0.000050
